country,Exports of goods and services (% of GDP)
Portugal,43.4457190264876
Puerto Rico,59.9538818579193
Qatar,55.9418631716143
Romania,41.5417472926055
Russian Federation,30.7932568020743
Rwanda,21.0980867012355
Samoa,31.9656764793989
San Marino,166.597497668983
Saudi Arabia,38.5653693884461
Senegal,22.9488948770268
Serbia,50.4345612977047
Seychelles,94.9176071590175
Sierra Leone,17.4672993262746
Singapore,176.592144152422
Sint Maarten (Dutch part),67.4835061262959
Slovak Republic,95.8358511444373
Slovenia,84.7926764008035
Solomon Islands,42.1262386063781
Somalia,19.108606557377
South Africa,27.562640211307
Spain,35.1450626692993
Sri Lanka,21.4462486145463
Sudan,0.611168056311933
Sweden,45.6830615126713
Switzerland,67.4781861031999
Syrian Arab Republic,14.9170277126093
Tajikistan,14.3754784742862
Tanzania,14.7391434287158
Thailand,64.838096899332
Timor-Leste,2.91672164093803
Togo,23.943475257357
Tonga,21.4120288357904
Tunisia,45.4857481712255
Turkiye,31.1528780813097
Turkmenistan,22.6638117732813
Uganda,15.0870530613121
Ukraine,45.2352356625927
United Arab Emirates,91.9947768689725
United Kingdom,31.2349066704984
United States,12.3609892157496
Uruguay,26.3964363013547
Uzbekistan,26.9618975737483
Vanuatu,47.2154963680387
Vietnam,84.4234575852164
Virgin Islands (U.S.),53.1361550229475
West Bank and Gaza,15.961564454493
"Yemen, Rep.",6.05657010178069
Zambia,37.9574045480394
Zimbabwe,26.1639731327864
